2025-12-20 05:28:07.294 [info] 2025/12/20 05:28:07 maxprocs: Leaving GOMAXPROCS=8: CPU quota undefined
2025-12-20 05:28:07.419 [info] I1220 05:28:07.419037  7302 main.go:183] Setting GOMAXPROCS to 4
2025-12-20 05:31:49.574 [info] I1220 05:31:49.574238  7302 http_helpers.go:125] URL: https://daily-cloudcode-pa.sandbox.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xeb905fb294a2db78
2025-12-20 05:31:50.032 [info] E1220 05:31:50.032415  7302 log.go:362] error executing cascade step: CORTEX_STEP_TYPE_FIND: search directory /home/archbtw/.mise does not exist
2025-12-20 05:31:50.054 [info] I1220 05:31:50.053870  7302 planner_generator.go:272] Requesting planner with 14 chat messages at model retry attempt 1 and API retry attempt 1
2025-12-20 05:31:52.086 [info] I1220 05:31:52.085717  7302 http_helpers.go:125] URL: https://daily-cloudcode-pa.sandbox.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x939d7de8874cbfd
2025-12-20 05:31:53.256 [info] I1220 05:31:53.255648  7302 planner_generator.go:272] Requesting planner with 16 chat messages at model retry attempt 1 and API retry attempt 1
2025-12-20 05:31:55.764 [info] I1220 05:31:55.763719  7302 http_helpers.go:125] URL: https://daily-cloudcode-pa.sandbox.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x6c54c8eb71211af7
2025-12-20 05:31:56.186 [info] E1220 05:31:56.185154  7302 log.go:362] failed to read file: read /home/archbtw/.local/share/mise/installs/npm-opencode-ai: is a directory
2025-12-20 05:31:56.197 [info] I1220 05:31:56.196502  7302 planner_generator.go:272] Requesting planner with 18 chat messages at model retry attempt 2 and API retry attempt 1
2025-12-20 05:31:58.369 [info] I1220 05:31:58.368902  7302 http_helpers.go:125] URL: https://daily-cloudcode-pa.sandbox.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xcdfbfcd7eb523ec1
2025-12-20 05:31:58.895 [info] E1220 05:31:58.893260  7302 log.go:362] unsupported mime type application/octet-stream
2025-12-20 05:31:58.899 [info] I1220 05:31:58.899393  7302 planner_generator.go:272] Requesting planner with 20 chat messages at model retry attempt 3 and API retry attempt 1
2025-12-20 05:32:00.984 [info] I1220 05:32:00.984067  7302 http_helpers.go:125] URL: https://daily-cloudcode-pa.sandbox.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xee0fcc9fcc1525a
2025-12-20 05:32:01.967 [info] E1220 05:32:01.964825  7302 log.go:362] path is not in a workspace which you have access to: either proceed without accessing that path, or ask the user if they are willing to turn off workspace validation
2025-12-20 05:32:01.974 [info] I1220 05:32:01.973666  7302 planner_generator.go:272] Requesting planner with 22 chat messages at model retry attempt 4 and API retry attempt 1
2025-12-20 05:32:03.838 [info] I1220 05:32:03.837858  7302 http_helpers.go:125] URL: https://daily-cloudcode-pa.sandbox.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x8d75b6d1206a2844
2025-12-20 05:32:34.391 [info] I1220 05:32:34.390566  7302 planner_generator.go:272] Requesting planner with 24 chat messages at model retry attempt 1 and API retry attempt 1
2025-12-20 05:32:37.133 [info] I1220 05:32:37.132671  7302 http_helpers.go:125] URL: https://daily-cloudcode-pa.sandbox.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xb624c1170fed3edf
